inputName,k,size,arr[size]
values_83,2,28,"{6725950843559318201, -5620034064041519841, -3423443669711044817, -2717118601975326432, -2640332044600487612, -4203585596172135034, 2776085323795130702, -1534553085516760147, -8573983757102580529, 1117122028584959115, 3705252614895453385, -4759573234740548517, 6052181095975054332, -4024957087255001770, 6481016240928990531, 3798775876961094738, -3754881321078147883, -6764603014376276020, 9001195808950031382, -6400794177516654321, -7472418685364764513, 4334787518710058919, 1419717154232845640, 35448760879215333, 4321712513228580666, -6818528918350964413, 2190639255512390477, 7029853322372225194"
values_67,2,24,"{-7529328747427481643, 1811158208401866010, -4063233035720966982, 1398787377084096145, -6920679242081212536, -6907523090555765699, -2475630215065948865, -4769305117622033190, -6452990798463965425, 4673745064845212867, 3525056428380713635, 5672371247507582507, -3116209842845549477, -2882516488017922782, -6172237759438328167, -7021220934570760223, 9013735367519947374, -497283873133613758, 6567160646911816971, -7067286063653872660, 8141939533482594656, -6461878184953212328, 9108654072248952562, 7116091102113585220"
values_86,2,2,"{6400113716311018793, -8856935652988872357"
values_23,2,31,"{4586981401510438713, 4258223261144650616, 563495589186404500, 2858401074445698065, 567547715689718403, -3971858424199934114, -2758680267525868256, -8106385908225020391, -8345980217495555523, -2326499520338326129, 3976855911187575660, 7910826928285316233, 8361353180638341554, -6953234659935860503, 2992366280251826528, 9173007302062225702, 1143762425282805732, 1121801756479817952, -7979287916241139226, 7377635674821727453, 4614363507070787639, -2170846514214695796, 3299133430057365271, 1640482490457762952, -1221726724189631439, 2269333773729807572, 2196129903580384530, 1400810609764338309, -4950986994523809053, -2601490136110491833, 6009674459692880012"
values_64,2,7,"{3461584120022971558, 1243464830925875170, 4613596000253607107, -3063992552173248025, -25851111476930939, 1072334845013101853, -9085620869669001393"
values_44,2,19,"{3535962643431406732, -7490250316487331901, 4915974882958799817, 8091264494777861322, 643266825046928826, -7030927364637127205, 1525088777000068192, 6573591763941015638, 1062632391886975918, 6001817068248251456, 2060646097478975228, 708472321379519199, -6046052279809025761, 6275307694499845735, -7799777436262294532, -4492676247468230287, -7128715926924009416, 6776708434125960507, -2344335286883605597"
values_71,2,3,"{-5114281344260703184, 8673996216367228479, -3832471600693559780"
values_93,2,6,"{-6954431298227886521, 8298446755204939187, 8956808584637659193, -2054485002399788952, -6356733327705758408, 7831434537077199970"
values_88,2,30,"{-6299401073818455569, 9012064562913635333, 4771886096136339989, 2983802289297375899, -5213075837327182830, 436366401420701898, -196879159431141956, -5378530217606683987, 2555794241762300096, -8307954834415763065, -737444200845157773, 781119086249397228, -3176999922791710816, -632637004530165884, -251164990366002215, 5031355226899037409, -7872254720136415148, 454803863364362505, -6400224130040503115, 6283433855918550926, -3628739844830907074, -3627329049365308635, -7832846429645141629, -2185799450610944434, 7033157810643175868, -5516314516606889594, -2079022099921565180, 6521608856620478596, 1602086221334795978, 475797495217411551"
values_26,2,9,"{7203016499639996359, 5587147970824997763, -8956642150868697591, -4927595037862134494, -8067205986301068618, 2391003300459839564, -5724445233577550086, 148444497661965589, -5293413491014471385"
values_59,2,19,"{26199221294980927, 7068463597629459267, 8908187068282079660, -4912849107044493986, 124715915151865444, -1210100783112917903, 7631932204475005642, -4591804312226657354, 6291756964824417215, -7284635119992135885, 6486664010674614907, -1391995697960952253, 5247491453855177206, -1139166996238044167, 1777969176886999771, -8559494216385209866, 2559177363874334824, 3946906354509464732, 630322410333394299"
values_57,2,17,"{-5008145047668788261, -7113159235410704001, 3417956554776614007, 7875239331883842221, -3147344063255876243, 8282690414462955242, -2230312760552813344, -3769582380229003500, -422102134192103104, -4857332975043454881, 4405064709957382779, -8962155325415056957, -9039878086230736842, 550154191177616167, 2550213954944926732, 6255739832666232189, 5937352736790658060"
values_82,2,22,"{7992072234385385645, -269979409837037132, 1770338170922044116, -3170546352869885051, 6195810255423120797, -3608104846824341070, -8942557292523171924, -9201893475359239736, -5332234779896732701, 2071791040050982747, -961198869864256934, 5324933502203807855, -5931849426831504267, -538862177346951854, -1074537650251901587, 7993411173160181892, -5669084573622111332, 1878611222805110086, -369684660944518364, 3991718671064330227, -3635962087212513716, 3176526780985982262"
values_75,2,20,"{4737013809818633116, -2031315379520951790, 4086871017650548669, 5104307727817739990, -3671394517437846220, -7584118143433027688, 6307185362659412824, 2374977076916394516, -1133516985696774562, -788317536306234711, 7030558875227182295, -2492131096839088490, -4939164614528174881, -7288484856266764480, -7016713942613392054, -2623390623808229435, -5875078181019311955, 1198218579793771081, -8158153854491230611, 1452360397610277620"
values_51,2,12,"{-9078446955225583160, -6089838128474473677, -7583532158222103258, 373596174345447039, -8282299626017042075, 3549889583182675617, 6056144671403440729, 3094385110947680712, 1623339073594843516, -3733663893452299904, 2853548315549698212, 7641910547462884936"
values_7,2,24,"{2832061205821093963, -3507423904908437418, -68833192767633239, -938142031994940990, -8439204437717590498, -9167594083926438364, -1633388270756315514, 4775920169177365912, 7293275790225434040, -4951069761144325716, -5252530942534459871, 4314345735384659678, 5771917911842815217, -2520343268070860279, 7045755199529210196, -7272291821261533977, -5808570921230513692, -6742835310123311423, -4825484649931264196, 950898543224873299, -2446108762429591866, -7050577698085956030, 2908842760120913476, 1507404107062333232"
values_92,2,2,"{3310660785266776260, 5645341838857291576"
values_56,2,12,"{-902858876367937939, 2751135879975699003, 5336041083220811265, -5614281466668911198, -1223475495221141101, -1415790244417322579, -2767539569848900433, 5679422589386472890, -5323190214721157728, 3682989365197932579, -321161964654960725, 1768802718695510003"
values_47,2,16,"{-5869580140349372637, -8469827526490620484, 543604434652835189, 4424002993312429471, -664962880480126714, 2581636029104815866, -7399772781585252390, -1128539240180680000, 2173949725334342138, -6076710559656125902, 9094645334692016224, 2436228439762591073, -4602524207918383858, -6498357950973003032, 891274698509469687, 7033828130582807936"
values_95,2,2,"{-1115085985745097691, -814083851686775989"
values_98,2,12,"{-6646750870401766047, -2402340479835791086, 6562236661647205022, -6787588546032936320, -5102598142107536706, -769453280860865833, -385151204132284537, 4095202103547371279, 7439332758715719050, -7312637239187404799, -247567134272129455, -1232629984330574588"
values_8,2,4,"{7463777392661088508, -1560368855860073387, 327978744407764233, 2352009723699160197"
values_18,2,11,"{-8657286025187885073, -3058199129445865378, -721661116131965386, 1864320550244761772, 7734905178973353900, 9078812171880053541, -1557985097929138743, 4856062298700873632, -3915224793649052849, 3746971775064205478, -2381381178259112842"
values_28,2,16,"{-6882135024453076731, 4671878606728123504, -7456420368100033088, 1562319341291736548, 2520432663663850252, -6379463608941216454, 3178352829612198813, -4834330217581537089, 6099883457514153040, -1199704238237235938, 6858791540024093636, -5866747713357598585, 721123685465760102, 3504644718274047582, 1736173097146909068, 3489348800833436142"
values_81,2,4,"{-1874509217830085825, 8156556387255820820, 3849319911629795415, -6425888769782521151"
values_17,2,30,"{-4274037279938077717, -5013861693019375876, 5516705011421573814, 7865800404529077761, -8003868625162825456, -4485259641738675403, -7316417882328619536, 6633421585950472929, -8728298536075880555, 910229332496045521, 8902913513072035291, 1478329954677995758, 6403514748052383031, -2665017467688940396, 4768150706117616997, 2342515333619619102, -4941247479858211797, -435313173261377500, 6965185355609424627, -6622952311680123582, 8699830833128722002, -5828921263182329491, 4407582204806408885, 6831080320576943887, 876611076422491634, 865886845114398286, -5983578993594625064, 9017925031335049539, 4461582222908089940, -4537724843140725741"
values_38,2,26,"{-8177088605831720272, -4855745536482120486, 4562439366037744976, 4413244273020199158, -1833104339099857134, -4136988743660287011, -1873641085459729241, -6693576435225358363, 5397363442631703063, -2343572478374500330, 2865677261848120003, -6678133157830527252, 3842972066294178290, 2956481537208242598, -4818367836471494743, 6439730843630545501, 848269376052960093, -3328334590579237484, 1720543897908855314, -3021672066699629041, -8412738732370399038, 1872223998642638355, 6510668474383989345, 3306622526289341123, 3588245931902836368, -1436360694447803426"
values_41,2,12,"{-5229451163146581075, 3081908415270682777, -6081513845248525833, -4258789865924577361, 319487148333783412, -1637979319710494025, 6090278234047273678, 6359130266009784619, 3127300965892675416, 5377759756336891043, 7695620884188130705, 8853337688984821921"
values_73,2,12,"{-8359362002465446836, -5997486649577103834, -2612874627155052512, 1425800723415427035, 2953457660803693383, -3263116781082170004, 5889886854462345765, 3167875078879718677, 6471859878959941328, 7961747510624145454, -1671643580314490741, -3801619249466151318"
values_66,2,31,"{9203141699494054977, -7193328997280318523, -2794954265505550321, -7189450646859248743, 7132158162532964698, -8593953207616716305, -6695500664706354150, 3419906233760872352, 8577636703212535577, -8807054856424875406, -6022917575239381313, 7090474502736781850, 8986146101212281550, -8352479281353224617, -6398051136476054153, 6491924912411383016, 2895302119158240422, 5024948887304515163, -750946202950519172, 293787969140702048, 690429662356882452, 1864110025194157666, 5925419181150726580, -4020341583346308742, -5773284625952625884, 6316649240334948700, 6991364151806550925, 3188960835062778362, 8391636339611447878, -1934254511784691680, -5795815227792874635"
values_58,2,24,"{8475108874119264708, 6634420752073220462, 5749738579709570045, 3579098250486198864, -921424827307102386, 2700434257338083048, -144237362814305664, 4037158464807214396, -6930442567632387445, -5495413896170856465, 5126089241929787026, 1174602221290300928, 5180944507895164822, 8582195725519342617, -3051658054015873086, -775598296738262511, 7485521076117302890, 5340727781166203679, 3360061501581148473, 2412084196566359747, -3030805014533088115, -6921198788604620748, -3141301133434498528, 4527267204118014235"
values_70,2,29,"{1111029213477121544, 8472140192852579407, -2850876579710426524, 463391313854276839, 5548066270642091259, -212147678116332063, -8915683246888366353, 9152826068031479276, -7650221210800935524, 8593913336466702155, 3179001124632238235, 3332122446727058259, -2069783005437166397, 2452308967374726325, -9070809121281812300, 4120227529801479772, -1307558349348849151, -4066803377953239306, 224881995829534184, -6812804555761871227, 2589675273314812408, -3129328500013142466, -6158372093624844680, -6259753825573032285, 322310059504630147, -8974300337274240998, -722974497789773015, 6712423428201808258, 2504144062700182262"
values_46,2,5,"{4509027035739833423, 8389843627924710573, 8321562270209910199, 4125308521760318519, -4484245032211534310"
values_11,2,7,"{-4603144703646276379, -4758258651355956970, -4738329773329446215, -8061000605613595219, 7628715018544671036, -6019745665076571173, -2345616680583586718"
values_33,2,26,"{332370473926512098, -6807788435464694162, -589816875148221442, -4619603667270604896, 2474337109219334417, 8067080333404981341, 8087324892593548784, -3020930275478565684, -4456939392302286209, -2046617232208958579, -6356102539011073723, 5014949190290066889, -8603445330889383004, 2389982715317705505, 7024463914131310364, 2224347370211530931, -1042099383928290688, -5591399827150450085, -8862309089518783188, 410389986726048643, 2173781897102252255, 6874917470534692433, 10968768696134854, -5769029590491412991, 2035270734737970750, -3341058862352353438"
values_72,2,15,"{4597354057944335203, -5175600091262946716, 1683746387720674249, 8507053492680329394, 8860835541803414608, -6702892083190644050, 2454031781828334576, -2848499672593035054, 3183887241463136155, -99814913151542280, 8301269013806285816, -8105610477405977422, -9056443522206150785, -4862272272512099894, 1015568351496133274"
values_6,2,9,"{5617902674745569968, 872829098408039872, -5554457769931266245, 4802686591759437277, -5264673955867412952, -3870452171115265388, 1491307309191668365, -8072677161036782792, 1071264944512741461"
values_10,2,30,"{-4808305003440893777, -3020201621534724368, -4954099964161421525, 392375744268479033, 3424000828540040133, 5760187659547901883, 9111606995147534859, 7896572690644668019, 1485100254433150156, 517724779769708733, 2777182082483677820, 3699901245217628332, -2952710918890221870, 4476687290233700939, -9015754317091561102, 5427523674309880771, -5522140972164075765, 521242827014631667, -3359461250287892925, -4927750877664590307, -3511858328095152269, -234872321518522964, 6085024508233951537, 2068448885583179727, 6319540447828670769, 8344520542654540860, 5028898679485309410, -935599964286922750, 3679398489358857934, 782051181529204775"
values_27,2,2,"{-7833409018953107384, -1635705864448576244"
values_24,2,6,"{-5424629129710842803, -5368027084118255712, 1251514343067477610, -7177730952540511548, 5234146020259878967, -4078595883762400848"
values_3,2,32,"{2389840019100468245, -848437717926407686, 6065744611626247500, -7516308391201044187, 6854773264601286666, 3300961163933399018, 2194569815572073536, 8535580676047732084, -5797478398448890759, -5933372991252964311, -970150186564306550, 6230821839813397694, 6487286555436268583, 8649714238846818494, -6771241472627240277, 7091210264962628354, 4359133324218035814, 3728604467751586229, 5005575891144933367, 6965075133805748454, -1229604317191322869, 5837770572593932733, -195649261901872438, 6686682255336122593, -328904726795331384, -3935680331092161201, 8519356518593255144, -89201104643776065, -2774726535481992202, -7205601606317440995, -3765075731813204734, 5610920241214220909"
values_69,2,29,"{-1177541103577557922, 2852314645946893359, -6721224919030597169, -6387707033126873227, -5255624884234394257, 1703552446177185578, 3571328333370724168, -8314255542167598320, 9212616033853372882, 1296318984358328801, 654305744927676440, 7770622060260313254, -5698848423202127522, 5193552482054557107, -6030665706871818048, -171952284183207852, 3544061095696483248, 3297269606823231055, -283308586916924977, -4363500433452123014, -1394863528151379842, -5413573373366380431, 1655243655847384805, -2568115541629243768, -6914591110769398353, -6830236881153350874, -2016001420945490294, -8864858144256434355, 4544688647024050890"
values_36,2,20,"{2820406681157952659, -655037215948217884, 7209511983418379077, -6240790326845463209, -4196659873823352870, -854309953764426102, 4521102460687895326, 7836768092358469231, 2889741283258870460, -1949326573631344102, -5825508264897424625, 3283674661488691595, 86481153741470773, 1359349235725788027, -3619280090694619781, 7660633561731073289, 8053971516990382522, -7757306755132201455, -1778197215494349971, 7963235582666504768"
values_21,2,12,"{8024796756876339175, 8929372023821080542, -3096876126159684466, 1070209382625294582, 8083786934349963993, 1132417508978326453, -5875160482030540375, -1277463295869049546, -4830595615669811019, -5584549196631094491, -2084783588118253373, 4786462685279901746"
values_5,2,9,"{5625664715557002754, -9035946113814147703, 4226366524131761908, 5576590182413167473, 1532619567009613120, 553057387361168881, -5094006844015311381, -1555794248950453924, -7127991942496132848"
values_49,2,3,"{4764643933289340572, -678993152953266226, -5393046031313101925"
values_1,2,15,"{6748018830712102565, 2617332124445662976, 6705742823897276318, 8855815256889367988, -1815512269804159773, 1064212795693735810, -4408031143137164287, 3841678598030815340, 2453822120635251893, -8947455003933156867, 3348222047164099971, 6543384762691686510, 9026857367070606373, 5589262862967901241, 4880760252156138306"
values_2,2,25,"{-4817866323431283176, -588558032635195231, -6294289386462699020, 467085274478420323, -632624521877372521, 8676549255773191674, 5698895950705729990, -2910094919103360029, -4527156558120558693, -1126172138065089256, -8992662212569952125, 7144624853834274075, -6033945758330630701, 2548898515547020997, -4439704306054305841, -7569376954431962624, 3383123177183039109, -9035491003667596232, -3019002936802996246, 6898563241976979763, 569094104489638208, -5399051065292483451, 4831678039462401841, -2828090433323299963, -7403444478554197144"
values_13,2,2,"{-5600151945693888410, -2426298376211897200"
values_32,2,28,"{2431804169078229798, -1756086346791302549, -4058706601356181967, 5613058420457824744, 2291113214743437132, -8419136794908015991, -8750994660881342346, -4972512232301107157, 5995987261335345735, -1917723425538983624, 3257415788547613986, -8795464715008841827, 1073523606319779741, -3905641815188263832, 4493828041511606893, 4114716140082242770, -4774814541808930547, 2625611275464493313, -1766771735183019646, -4533393437767075351, -620222870773077188, -8859048726903707685, 4866813097713758256, -2184962351803507298, -5251394286617129361, -824408417704486881, 3253233725775544056, -7253048150989395250"
values_39,2,12,"{2741258746977092580, 7008634005161708697, -2434243487054956606, 8056406879254947362, -3693617319587326605, 5783933024709233274, 3172751003456936333, -7810506544567554877, -2308319843692340297, 7459574147352322357, 5513721363990924791, 7457496797532871113"
values_4,2,32,"{6243505554169592863, 1257080857352304602, -3597103051432684808, -9042503301412104066, 9095296143645785652, -8486142160937811167, -923722212321860960, -7650422524845505883, -107354317994873161, -3336982675210205377, -3868452619625363644, 7858140230834692444, 5521651332027427576, -4187436980920202427, 586745763176624243, -5613967202181925527, -8989673293057848885, -7014398071983666540, 1954790838320349727, 846837498726834201, 5233222493470719157, -2509856953926972789, 8089929323727913284, -3862868251061883718, -3315754077662424518, -4478443741849721948, -1504150597642034492, -8061729176362939046, 684950641898802483, 6068772195800694796, 5083281329553997544, -1204678923989404665"
values_65,2,32,"{-6171818344821842530, 8008661795945492442, -5173931263252496112, -2324462194278283561, -3208195513846472700, 3012016488269676688, 8197470738446027781, 806907483743028051, -3033985051013555852, -176991772993721852, -4736332892808412670, 1283057035294438336, 1577178161448946743, -4404803491324646993, -6548058539265827432, 1077687440222412861, 4439268437704821347, 7865547328652841008, -3537590043552067601, -4809814134864683511, 6883172648271505930, -3067281887253077938, 5819280385401769577, -496607005110667028, -4061598300646380287, 7922837130655481924, -59155339515329938, -8410758367839107242, 7773080761730758576, -4484628282196939289, -1670664882039144085, -7249387575702640706"
values_85,2,28,"{-1393575110918665592, 6862959411181515339, 4692057889508734667, 6811169068937045143, 1284455042710166796, 88487474884898854, -7513919758355201021, -2708223463020075128, -6064316332927258808, 290333615956922141, 3206277975230067922, 8742980368352831823, 3166947535530849880, -1390070033755506680, 7401950594106497377, 1280464830386697235, -2202342190217677940, 7968850498118268671, 7050075756691769178, 8667217692796334608, -1405827884345679119, -1143773925015164931, 4111957092490962705, -6024514771260998787, -2681457571863539520, -3459250408642100204, -4719096217952096793, 3385560817719805680"
values_62,2,6,"{4861999473887271506, 1938950860015292691, -6238357691831572018, -2922543280343754891, 3981959284209089714, -6494799589691769306"
values_91,2,28,"{-5044812541982307691, -3486795069897468746, -424944401096006440, 4032228369290877702, 8095491450805386648, 4992702685733039842, 352565227736477330, 6322675298993753138, -7043350889124568696, -6160533324138455303, 1420613817817333697, 651706158970710254, 1583737410256898815, 3128574698239899018, 5402452338439982038, -4324757355541574801, -4626337020061649532, 467962056849207657, 7050388681088824109, -6757636064076727494, -3243432184981081750, -7323543919193850682, 5185238573807881867, 5115900408153507680, 6093291776612527756, -5506248710946135942, -256398568110126313, 1514535963224436837"
values_25,2,9,"{147273724621096477, 8230226519906215779, 7215149756655322728, -6498932264543045253, -2471958971077276454, 4203830860751986935, 2320385161707963412, -2623576945439451857, 4059148488925605765"
values_63,2,17,"{3032926361268234561, -4857241336436625784, -2574818790026743716, 7641473781450323755, 6960181569646193133, -6951460160749071419, 7381596746394191642, 1457602323856230903, 715754684715932511, -861485497587338854, -7907804103065664196, -8057969562379563030, -6484250665166934072, -3231823496392438390, -418311818623310787, -2814283137754806325, 6569368645644815626"
values_12,2,23,"{-1647809856124985113, -2374435716962920263, -3874037119557073433, -8762544003195942602, -3350646106135050370, 6115770716315521700, 3377348239481730734, 252863412990209354, -5628145835565658180, -3146548381499288811, -5278003268590273265, 8323163122649520384, 8423224812153253509, 3629262025675921383, 6726580092990774684, 4853473926144161025, 3693540713932671177, -8570667769696957697, -4709038604840881486, 4415672102892444971, -5980501287017977744, -7043396142626391057, 3667993143949560779"
values_79,2,19,"{4394700567555086988, 866391185621920707, -7604904042637972847, 3355878787783890704, 8787724172291873637, 8770560200258295443, 7888223896836609192, -3597223263343633483, -605846789625310318, -4636713825660259967, -2038431664041849625, -5504899106645797664, 6761648137469698965, 3125433612297681260, 5952037094080480756, -198888292348039098, -4749495133706831909, -2421002439039806842, 151665607303932803"
values_54,2,13,"{-6554940653409747635, 6158230436158266281, 4071031046352242203, 3166714093761836586, -6972149202583965233, -4046060202783951981, 8816065243655423124, 6464909786276164495, 7558935925756943632, -1208815152761565889, 8803565452261562796, -7399387642276634786, 8987981799747548543"
values_9,2,9,"{9048166853801597012, 1824715846961794937, 3616298526489954954, -3871838332897335885, -1042464017641709539, -2325552817366116339, -934380513433650928, -3663635064961127534, 449550992567670507"
values_74,2,30,"{1097669941501828880, -5155609078092416797, -1685939179747701611, -7717849530366092705, 5342273045874455050, 274940869132314892, -5854168585283321528, 2588260946979722348, -5485323288743957303, 434837228749949181, -4112566214951084146, 5459768813634098246, 961711548635676352, -6981333758038929973, 3995864883744456179, -4094469588531398997, 6535487722921208451, -4423362102982900592, 4365274864553339371, -1305568434907373757, -7838484702118547618, -3296981978703782859, -7780951366839440211, -8274623128842130102, -2412821787566860384, 1580350728537438150, -7616057650217703740, -8473837221446591865, -4760126369716181107, 8293459735872467952"
values_22,2,11,"{5517669236807757825, -7535713602457167057, 4213570874112247461, 6326092852073183942, -1839722592534539579, -1549446066105293460, 7526335918650870685, -2481942950802743559, -4866395927835113140, -3864201817923834070, 255375412286146712"
values_89,2,22,"{9117760849851266359, 7265125588432959714, 6113880930376291927, -5926838612020366745, -9039887345913035251, -142826909535482342, 8904622578671493137, 102508314162616573, 6769744986873080635, -2243020502739050635, -4134913144494462554, 744332789299034412, 1614166341687657595, -982299778885367684, 7363867818743249058, 5694549665953015993, -340046203241996743, 5196686064028364748, 9016511954436672484, -243966765480780575, 4617358918870537030, 9128207595100880731"
values_48,2,30,"{-270109847750797639, 3268709880649242492, 5789584868024780973, 3436835733001352775, 4673570228558095180, -5409416329462218614, 6527068169375897040, 4633000225236754279, -1749530206266281038, 3755817591658154396, 2156519240386109273, 220891556883852117, 8941454334132798590, -7342633078259892101, -7693055257605062780, 4477000533315679193, 2561204148108991991, -5271123788658928129, -3925283756029507240, 4791186603297135989, 5299849194196976162, -921477398442634436, 8627450102301081128, 3566431066719382458, 8671020167499489253, -721565769605683927, -8815127363641333375, -6184031566895057740, 7417969300119313998, 2061401648764374311"
